 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
3684,614.302,1657.753,1156.709,1933.868,1423.528,1231.476,1325.303,1387.986,1268.723,1152.425,2993.900,1490.190,1578.192,1555.342,2101.934,2244.746,2536.603,1627.823,1551.227,1469.812,1542.364,1883.358,1376.023,1327.855,1328.762,1161.599,1332.563,2450.604,3496.293,2614.367,3666.144,1057.143,956.315,2824.506
3685,611.229,1656.099,1152.878,1936.159,1428.381,1231.562,1322.900,1392.672,1271.585,1149.310,2989.785,1497.810,1577.713,1566.121,2107.838,2244.312,2541.666,1625.092,1549.579,1476.391,1540.901,1883.155,1370.128,1327.266,1336.161,1167.060,1335.047,2463.956,3492.542,2643.321,3654.362,1064.911,958.314,2812.866
3686,612.322,1660.115,1157.390,1934.749,1434.803,1236.300,1326.653,1399.603,1271.486,1142.193,2997.679,1507.481,1578.450,1561.577,2110.948,2235.717,2538.750,1618.866,1551.083,1484.862,1536.929,1898.370,1370.799,1325.171,1336.258,1167.313,1341.203,2458.198,3498.072,2634.113,3669.617,1062.429,960.778,2824.407
3687,609.559,1658.422,1155.491,1939.994,1427.039,1228.725,1328.882,1398.395,1275.792,1128.797,2992.115,1496.839,1581.416,1551.754,2106.050,2238.748,2538.910,1618.555,1548.377,1479.424,1547.773,1883.612,1361.338,1318.541,1346.048,1166.640,1339.114,2468.011,3489.260,2625.482,3664.203,1062.950,955.874,2831.234
3688,609.375,1662.823,1153.108,1951.337,1431.427,1231.139,1327.404,1397.364,1269.148,1158.031,2995.613,1497.423,1586.684,1551.401,2113.376,2240.024,2532.867,1626.865,1555.471,1477.746,1547.121,1893.052,1360.630,1324.591,1337.706,1163.381,1335.368,2469.747,3496.406,2631.377,3651.464,1065.151,956.114,2846.583
3689,607.030,1659.970,1154.897,1945.500,1431.357,1234.077,1327.202,1400.495,1276.491,1147.029,2994.882,1502.276,1588.075,1543.356,2108.147,2244.428,2527.234,1624.615,1551.697,1487.695,1544.900,1899.635,1353.981,1319.190,1342.324,1162.892,1334.203,2476.614,3521.443,2633.435,3664.885,1063.413,953.297,2841.083
3690,613.239,1660.287,1155.900,1950.469,1425.247,1235.240,1328.710,1402.475,1268.779,1149.497,2986.619,1503.194,1600.460,1541.955,2116.927,2240.763,2551.335,1623.906,1554.114,1479.268,1547.462,1890.370,1343.172,1331.138,1352.776,1166.038,1339.044,2467.537,3489.721,2622.696,3666.930,1067.887,959.747,2830.352
3691,610.749,1657.917,1152.888,1936.047,1425.082,1230.212,1323.882,1390.608,1268.286,1146.164,2987.474,1500.921,1583.762,1543.314,2101.854,2239.262,2533.959,1609.675,1552.470,1481.898,1549.572,1903.797,1334.023,1325.792,1350.055,1163.715,1335.450,2460.962,3485.556,2622.063,3668.220,1066.410,957.057,2825.641
3692,615.320,1654.976,1152.245,1931.623,1426.172,1231.221,1328.848,1396.886,1265.143,1152.247,2990.110,1503.685,1588.326,1536.030,2102.919,2234.656,2527.033,1627.979,1552.389,1469.943,1534.048,1901.865,1329.946,1328.543,1355.194,1159.002,1344.476,2456.076,3498.140,2626.702,3674.575,1064.577,956.007,2829.602
3693,612.804,1661.091,1154.997,1941.118,1422.538,1233.051,1330.420,1399.333,1273.403,1150.184,3000.330,1500.033,1584.988,1538.598,2103.401,2232.328,2542.230,1622.647,1557.354,1484.421,1539.754,1911.945,1337.959,1325.600,1359.835,1164.508,1343.661,2471.526,3512.166,2631.716,3690.172,1073.536,956.893,2839.898
