 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
6104,1113.764,3891.343,2363.007,2975.539,2444.246,3905.963,2993.556,2367.602,1869.066,2841.199,1885.583,2238.121,1938.402,2308.074,1726.371,2154.138,1665.986,1837.041,2451.771,2882.969,2500.432,2435.370,2584.502,2034.979,2090.670,2995.520,2199.800,1797.945,1708.104,2863.519
6105,1105.384,3862.646,2356.015,2962.120,2423.248,3821.183,3008.091,2382.565,1883.241,2849.966,1852.516,2235.609,1934.790,2328.771,1724.104,2173.153,1675.137,1884.773,2462.439,2897.537,2470.906,2450.567,2587.622,2018.529,2091.905,2992.411,2198.809,1801.787,1714.429,2906.503
6106,1105.926,3857.304,2368.687,2951.947,2428.311,3714.448,3011.333,2377.637,1847.306,2862.534,1873.643,2225.053,1945.936,2324.704,1732.147,2160.570,1640.835,1859.758,2448.164,2903.237,2511.194,2443.000,2577.869,2009.277,2076.589,2977.495,2195.088,1805.430,1721.854,2900.529
6107,1105.171,3840.389,2374.546,2946.807,2463.081,3596.214,3004.688,2398.277,1854.594,2899.613,1847.859,2235.387,1929.581,2328.402,1738.710,2144.554,1668.092,1879.493,2446.174,2912.272,2492.179,2455.399,2594.701,2035.417,2098.241,2984.631,2216.238,1806.494,1732.910,2923.782
6108,1107.634,3809.361,2358.386,2953.510,2436.739,3488.568,3001.618,2407.353,1856.131,2913.239,1858.891,2223.218,1968.275,2338.935,1731.270,2137.653,1648.664,1876.332,2464.000,2914.230,2512.338,2466.327,2574.716,2011.624,2097.721,2968.058,2204.420,1827.801,1715.253,2919.212
6109,1124.296,3793.444,2366.028,2977.368,2445.041,3414.505,3015.139,2405.813,1851.034,2946.389,1870.508,2233.692,1949.870,2313.939,1732.557,2145.052,1657.769,1894.822,2518.635,2928.784,2483.781,2463.842,2569.024,2008.210,2099.327,2963.965,2211.617,1847.751,1727.523,2954.482
6110,1118.551,3776.656,2366.889,2953.678,2474.238,3333.531,3045.946,2395.873,1855.249,2917.453,1870.130,2213.681,1979.356,2328.777,1728.545,2143.075,1662.929,1888.300,2517.186,2898.095,2469.825,2448.218,2580.595,2024.332,2119.913,2959.632,2189.916,1847.801,1709.906,2953.613
6111,1119.523,3757.069,2388.191,2968.473,2463.870,3207.254,3029.296,2412.265,1854.658,2919.560,1859.216,2233.318,1957.518,2338.478,1743.633,2157.074,1639.590,1881.717,2553.481,2921.249,2469.906,2432.053,2599.560,1995.784,2084.262,2948.298,2199.854,1842.788,1720.463,2971.736
6112,1124.222,3745.738,2353.526,2941.803,2428.881,3094.519,3000.855,2387.251,1837.797,2953.241,1844.948,2231.623,1947.808,2317.942,1755.698,2149.681,1655.275,1880.478,2547.058,2928.219,2480.576,2426.264,2571.300,1998.190,2105.903,2965.852,2197.644,1831.868,1717.083,2951.814
6113,1124.486,3716.196,2372.210,2962.157,2419.866,2987.232,3008.902,2396.788,1859.378,2937.759,1872.932,2233.204,1967.317,2325.892,1747.959,2142.520,1650.393,1887.187,2515.423,2927.324,2504.975,2429.752,2572.435,2037.517,2097.820,2953.272,2194.093,1824.346,1721.749,2969.568
