 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
111,725.755,1617.022,1403.573,1227.860,885.742,1090.766,1041.113,914.376,1207.601,1526.430,1416.110,1220.705,1471.853,996.091
112,726.983,1620.608,1406.877,1228.985,886.883,1093.592,1044.154,915.426,1204.516,1535.305,1419.185,1225.032,1478.600,1003.035
113,724.135,1612.493,1404.885,1228.438,884.514,1088.043,1038.601,915.231,1206.653,1527.794,1408.467,1219.908,1481.798,999.710
114,727.147,1612.986,1411.162,1227.767,886.300,1094.194,1037.237,915.863,1205.615,1526.214,1405.980,1220.036,1483.989,994.986
115,732.877,1617.153,1414.796,1234.482,890.172,1097.777,1044.235,921.765,1206.371,1529.052,1409.328,1223.326,1487.434,1004.977
116,719.804,1613.914,1411.257,1230.187,886.460,1095.022,1040.924,915.290,1205.305,1532.017,1406.752,1219.359,1488.628,997.456
117,728.154,1618.742,1416.951,1235.968,887.714,1096.992,1044.711,920.197,1205.852,1533.964,1408.049,1226.500,1487.548,1003.806
118,730.333,1613.137,1412.941,1232.130,886.593,1097.725,1044.011,918.726,1207.980,1528.740,1399.253,1222.751,1495.060,998.562
119,723.245,1611.726,1413.148,1234.160,884.450,1095.059,1043.643,915.742,1200.137,1525.734,1391.979,1222.130,1482.389,997.393
120,730.235,1612.914,1411.908,1234.677,888.023,1095.873,1043.211,919.359,1207.268,1526.124,1391.310,1222.135,1491.905,994.800
121,726.206,1613.214,1416.378,1235.780,890.583,1096.363,1041.131,919.199,1206.815,1530.285,1396.536,1227.910,1498.365,1000.039
122,729.248,1610.929,1415.752,1233.328,886.676,1097.665,1040.919,919.514,1205.989,1528.400,1398.716,1219.942,1488.782,996.824
123,730.113,1607.567,1413.582,1231.540,886.390,1094.041,1041.307,917.080,1207.050,1524.801,1388.866,1221.269,1489.295,996.637
124,723.338,1605.051,1414.041,1235.718,887.050,1097.478,1040.255,914.982,1205.039,1533.357,1384.010,1222.589,1484.411,993.258
125,726.333,1603.698,1417.612,1234.419,890.399,1098.681,1039.805,920.960,1205.981,1530.845,1388.619,1224.456,1498.420,998.169
126,727.735,1612.944,1411.623,1239.942,890.761,1099.541,1043.928,919.275,1211.681,1531.987,1385.237,1227.034,1487.378,1001.592
127,722.301,1611.658,1413.110,1231.318,887.094,1096.630,1038.012,915.677,1206.512,1530.226,1386.846,1219.262,1488.021,994.979
128,723.490,1614.842,1415.504,1237.341,890.268,1098.545,1043.234,918.420,1209.707,1526.752,1386.524,1220.594,1483.877,995.069
129,726.130,1615.187,1415.048,1236.847,892.300,1099.538,1043.465,919.836,1207.116,1533.594,1378.172,1222.985,1495.967,997.447
130,732.118,1611.574,1415.231,1235.987,887.163,1099.895,1042.042,917.043,1202.959,1531.117,1386.422,1219.061,1489.117,1001.515
131,726.275,1610.539,1414.389,1233.865,887.053,1097.375,1040.175,916.595,1205.539,1525.833,1378.548,1221.752,1478.191,999.310
132,719.696,1612.298,1414.163,1238.794,891.089,1098.950,1043.316,918.834,1209.029,1525.818,1383.969,1222.474,1487.719,1000.075
133,724.738,1612.695,1408.796,1234.153,889.969,1096.026,1044.580,917.560,1209.100,1524.401,1380.196,1217.328,1493.540,996.246
134,718.525,1610.064,1411.860,1233.482,886.916,1095.214,1041.533,916.455,1204.659,1524.755,1371.168,1218.747,1492.917,992.528
135,727.990,1610.869,1410.099,1234.216,889.694,1095.655,1042.444,917.560,1208.937,1522.741,1374.631,1224.437,1488.772,997.169
136,712.647,1603.780,1408.303,1230.591,883.666,1091.844,1043.013,912.176,1202.686,1517.250,1372.623,1217.936,1480.000,993.467
137,719.853,1604.592,1409.331,1230.763,887.482,1094.727,1043.579,917.341,1204.305,1522.666,1366.865,1218.682,1483.595,998.773
138,720.520,1605.904,1411.430,1231.981,885.538,1094.050,1040.585,916.294,1205.239,1520.634,1372.475,1214.007,1483.100,994.647
139,723.475,1606.363,1410.496,1231.507,890.447,1095.994,1043.473,913.783,1204.899,1519.668,1370.205,1221.149,1486.988,996.446
140,728.414,1618.121,1416.862,1236.246,893.338,1101.250,1049.974,923.525,1215.845,1528.257,1385.240,1225.911,1486.514,1003.131
