 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
3711,732.771,2043.276,1560.292,1719.990,1736.377,2161.368,2105.502,2127.026,1791.061,1728.582,1172.206,1717.088,1371.719,2008.937,3106.475,1737.894,1519.544,2089.168,1817.896,1740.827,1316.551,2884.377,1256.590
3712,735.060,2052.930,1555.350,1725.781,1745.313,2164.431,2103.457,2129.787,1798.106,1730.593,1173.838,1717.525,1371.090,2016.474,3115.369,1733.190,1523.473,2090.693,1805.715,1737.296,1317.613,2888.491,1257.070
3713,734.380,2052.710,1557.526,1718.474,1736.585,2159.217,2100.017,2125.557,1793.855,1726.318,1173.019,1709.881,1363.677,2013.288,3104.758,1733.598,1518.480,2087.674,1810.786,1733.125,1314.278,2877.051,1257.880
3714,737.038,2050.463,1558.606,1722.913,1736.227,2172.333,2105.294,2133.033,1798.136,1728.352,1175.965,1715.941,1373.364,2014.660,3111.990,1744.795,1524.569,2093.459,1812.888,1737.901,1315.998,2899.940,1257.528
3715,740.994,2058.364,1561.862,1723.256,1741.305,2170.527,2114.338,2131.301,1792.404,1728.120,1175.440,1713.351,1372.084,2014.052,3105.764,1740.399,1523.983,2096.466,1811.225,1741.662,1322.976,2881.639,1258.225
3716,737.018,2056.318,1560.565,1725.613,1750.896,2170.323,2114.025,2138.848,1800.404,1733.352,1176.751,1715.836,1374.951,2017.201,3117.428,1740.894,1527.816,2100.906,1815.004,1741.833,1320.486,2899.899,1257.487
3717,737.113,2047.226,1559.797,1722.158,1745.161,2176.851,2104.104,2127.735,1796.824,1727.872,1174.458,1713.522,1374.045,2015.059,3098.457,1740.132,1525.901,2088.450,1804.612,1736.541,1319.825,2887.322,1255.823
3718,740.152,2054.604,1561.329,1720.762,1749.601,2176.238,2115.547,2133.983,1798.603,1730.431,1173.700,1718.206,1378.063,2015.015,3108.393,1743.553,1527.563,2092.285,1814.917,1735.362,1316.885,2891.500,1259.862
3719,741.280,2056.333,1559.280,1723.655,1743.301,2168.831,2107.023,2135.943,1800.485,1730.748,1176.202,1708.490,1377.496,2014.147,3107.223,1740.182,1523.232,2096.633,1807.983,1742.710,1322.566,2890.539,1261.533
3720,737.561,2048.950,1558.078,1724.290,1748.524,2169.378,2104.486,2128.502,1805.496,1727.669,1178.219,1714.526,1375.235,2008.956,3114.937,1740.808,1530.141,2092.013,1810.654,1732.125,1323.524,2891.950,1257.177
