Cell 121,Cell 255,Cell 370,Cell 372,Cell 375,Cell 378,Cell 388,Cell 390,Cell 396,Cell 409
175.08467,1114.7535,242.81633,201.15388,134.00818,7583.007,190.78146,86.79802,147.74094,318.23676
175.08467,1003.3706,242.81633,198.9266,134.00801,7023.6846,190.6832,86.79802,147.72124,318.23676
175.08467,898.2196,242.81633,196.8115,134.00787,6506.343,190.58913,86.79802,147.70303,318.23676
175.08467,798.9522,242.81633,194.8029,134.00774,8062.9546,190.49905,86.79802,147.68619,318.23676
175.08467,705.23883,242.81633,192.89546,134.00763,8215.142,190.41283,86.79802,147.67062,318.23676
175.08467,616.7688,242.81633,191.08408,134.00752,8809.353,190.33026,86.79802,147.65622,318.23676
175.08467,533.2489,242.81633,189.36392,134.00743,8157.9863,190.25122,86.79802,147.64291,318.23676
175.08467,1126.7985,242.81633,187.7304,134.00735,8275.596,190.17554,86.79802,147.6306,318.23676
175.08467,1014.74164,242.81633,186.17912,134.0073,7664.2905,190.10307,86.79802,147.61922,318.23676
175.08467,908.9546,242.81633,184.70598,134.00723,7098.8677,190.03369,86.79802,147.6087,318.23676
175.08467,809.08636,242.81633,183.30702,134.00717,6575.883,189.96729,86.79802,147.59897,318.23676
175.08467,714.8059,242.81633,181.97852,134.00713,6092.151,189.9037,86.79802,147.58998,318.23676
175.08467,1156.0022,242.81633,180.71692,134.00708,5644.726,189.8428,86.79802,147.58165,318.23676
175.08467,1042.3115,242.81633,179.51886,134.00703,5230.883,189.78452,86.79802,147.57396,318.23676
175.08467,934.98175,242.81633,178.38113,134.007,4848.101,189.7287,86.79802,147.56685,318.23676
175.08467,1263.3062,242.81633,177.3007,134.00697,5223.0137,189.67528,86.79802,147.56027,318.23676
175.08467,1143.6117,242.81633,176.27467,134.00696,4840.8223,189.62411,86.79802,147.5542,318.23676
175.08467,1030.6141,242.81633,175.30032,134.00693,4487.317,189.57515,86.79802,147.54857,318.23676
175.08467,923.93896,242.81633,174.37505,134.00691,4160.344,189.52826,86.79802,147.54338,318.23676
175.08467,823.2323,242.81633,173.49637,134.00688,3857.9124,189.48335,86.79802,147.53857,318.23676
175.08467,728.16046,242.81633,172.66193,134.00687,4156.293,189.44037,86.79802,147.53412,318.23676
175.08467,1572.5991,242.81633,171.86952,134.00685,3997.15,189.39922,86.79802,147.53001,318.23676
175.08467,2429.4548,242.81633,171.11702,134.00685,3706.9668,189.35982,86.79802,147.52621,318.23676
175.08467,2244.5125,242.81633,170.4024,134.00684,3438.5635,189.3221,86.79802,147.5227,318.23676
175.08467,2874.7844,242.81633,169.72379,134.00682,3190.3054,189.28596,86.79802,147.51945,318.23676
175.08467,2664.9253,242.81633,169.07935,134.00682,2960.6807,189.2514,86.79802,147.51645,318.23676
175.08467,2466.808,242.81633,168.46736,134.0068,2748.2905,189.21829,86.79802,147.51367,318.23676
175.08467,2279.776,242.81633,1481.4119,134.0068,2551.8416,189.1866,86.79802,147.51111,318.23676
175.08467,2103.2083,242.81633,1414.7101,134.00679,2370.1372,189.15625,86.79802,147.50873,318.23676
175.08467,1936.5197,242.81633,2097.1082,134.00679,2202.0708,189.12718,86.79802,147.50653,318.23676
175.08467,1779.1578,242.81633,2679.6921,134.00677,2046.6188,189.09938,86.79802,147.5045,318.23676
175.08467,1630.6006,242.81633,2552.6443,134.00677,1902.8342,189.07274,86.79802,147.50262,318.23676
175.08467,1490.3552,242.81633,2431.9946,134.00677,1769.8416,189.04724,86.79802,147.50089,318.23676
175.08467,1357.9567,242.81633,2317.421,134.00677,1646.8307,189.02283,86.79802,147.49928,318.23676
175.08467,1232.9661,242.81633,2208.6172,134.00677,1533.0525,188.99947,86.79802,147.4978,318.23676
175.08467,1114.9692,242.81633,3544.8796,134.00676,1427.814,188.97708,86.79802,147.49643,318.23676
