Cell 19,Cell 25,Cell 59
24.63049,29.321804,4.6355104
24.191978,28.616083,4.6355104
23.783346,27.95926,4.6355104
23.402554,27.347948,4.6355104
23.047707,26.77899,4.6355104
22.717037,26.249456,4.6355104
22.408897,25.75661,4.6355104
22.12175,25.297915,4.6355104
21.854168,24.871,4.6355104
21.604818,24.473667,4.6355104
21.372456,24.103865,4.6355104
21.155926,23.759684,4.6355104
20.954147,23.43935,4.6355104
20.766119,23.141212,4.6355104
20.5909,22.863731,4.6355104
20.42762,22.605478,4.6355104
20.275463,29.323954,4.6355104
20.133675,42.473602,4.6355104
20.001547,40.856617,4.6355104
19.87842,39.351673,4.6355104
19.763683,37.951,4.6355104
19.656765,36.64738,4.6355104
19.557129,35.434086,4.6355104
19.464283,34.304855,4.6355104
19.377762,33.25387,4.6355104
27.891672,32.2757,4.6355104
27.230968,31.365313,4.6355104
26.61528,30.518,4.6355104
26.041538,29.729397,4.6355104
25.50689,28.995434,4.6355104
25.008669,28.312326,4.6355104
24.544392,27.67655,4.6355104
24.111748,27.084826,4.6355104
23.708582,26.5341,4.6355104
23.332884,26.021532,4.6355104
22.982784,25.544481,4.6355104
22.656536,25.100483,4.6355104
22.352518,24.687248,4.6355104
22.069214,24.302647,4.6355104
21.80521,23.944693,4.6355104
46.704437,23.61154,4.6355104
44.76196,23.301472,4.6355104
42.951828,23.012888,4.6355104
41.26503,22.744299,4.6355104
39.69316,22.49432,4.6355104
38.228386,22.261662,4.6355104
36.863407,22.045124,4.6355104
35.59143,21.843588,4.6355104
34.40612,21.701775,4.6355104
33.301567,21.524029,4.6355104
32.27227,21.3586,4.6355104
31.3131,21.204634,4.6355104
30.419285,21.061335,4.6355104
29.586365,20.927965,4.6355104
28.810196,20.803837,4.6355104
28.08691,20.688309,4.6355104
27.412903,20.580786,4.6355104
26.78482,20.480711,4.6355104
26.199528,20.387571,4.6355104
25.654116,20.300886,4.6355104
25.145863,20.220205,4.6355104
24.67224,20.145117,4.6355104
34.799316,20.07523,4.6355104
33.667976,20.010185,4.6355104
32.613712,19.949648,4.6355104
31.631283,19.893305,4.6355104
30.715786,19.840866,4.6355104
29.862667,19.792059,4.6355104
29.067673,19.746635,4.6355104
28.326843,19.70436,4.6355104
27.63649,19.66501,4.6355104
26.993172,19.62839,4.6355104
26.393684,19.594305,4.6355104
25.835043,19.562584,4.6355104
25.314465,19.53306,4.6355104
24.829353,19.50558,4.6355104
24.377293,49.08565,4.6355104
23.956034,47.010532,4.6355104
23.563477,45.079197,4.6355104
