Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
141.4109,33.455387,44.0708,35.77692,47.828445,169.19191,30.821482,520.2818,56.51541,110.6372,39.367332,38.49602
134.41963,33.422226,42.928627,33.103436,77.55745,201.81276,30.709478,481.49915,55.362503,103.61229,38.796024,38.431023
127.792755,33.391327,41.846016,30.62146,153.15662,322.44693,30.605944,444.98657,54.276764,96.999596,38.262947,38.368713
121.51128,33.362537,40.81986,28.31727,140.66455,298.91696,186.50238,410.6112,53.25428,90.77491,48.51526,38.30898
115.5572,33.33572,39.847214,75.26879,129.18152,276.4565,174.6195,595.89417,52.291367,84.91547,47.331783,38.251717
494.7801,33.31073,38.925293,69.766396,118.626,255.01695,163.63509,552.6856,51.38456,79.39986,46.22751,38.19682
469.37073,33.28745,38.051445,64.65816,108.92311,234.55193,153.48119,512.0062,50.53058,74.20788,45.197132,38.14419
445.28574,33.26576,37.223167,59.91583,100.003944,215.01706,144.09502,473.70795,49.726353,88.54452,44.235706,38.093742
422.4561,33.245544,36.438084,55.51321,91.80523,196.3701,135.41852,437.65146,48.968983,82.815956,43.338615,38.045376
400.81635,33.226715,35.69394,51.42596,84.268745,297.08292,127.39804,403.70538,48.255737,77.42353,42.50156,37.999012
449.60306,33.20917,34.9886,47.631493,77.34102,274.70584,119.98398,452.92078,47.584045,72.34751,41.72052,37.954563
426.5484,33.19282,34.320045,44.108833,70.97288,253.34586,113.13049,418.08102,152.36974,67.56935,40.99174,37.911953
404.69537,33.177593,33.68635,40.83851,65.1191,232.95677,106.7952,385.2805,145.63223,63.071564,40.31173,37.871105
383.98135,33.163403,33.08571,37.80245,59.73817,213.49442,100.93889,354.39996,139.2873,58.837692,39.677227,37.831947
398.4683,33.15018,34.6118,34.983868,54.791874,194.91669,95.52539,429.08328,133.31198,54.85226,39.085186,37.794407
591.426,33.137867,33.96289,32.36719,50.24511,177.18338,90.52119,395.63882,127.68482,51.10068,100.64606,37.75842
560.9794,33.12639,33.347824,29.937954,46.065605,160.2561,85.895355,375.0604,122.3855,47.569237,95.97408,37.72392
532.1196,33.115696,32.76483,27.682728,42.223698,144.09822,81.61927,344.778,117.39492,44.245007,91.61475,37.690845
844.89056,33.105732,32.212242,25.58905,38.692116,128.67476,77.666504,316.26822,112.6951,62.964844,87.547134,37.659138
801.233,33.09645,31.688467,43.508614,35.445793,113.95234,74.01259,289.4272,108.2691,58.737236,83.75172,37.628742
759.8509,33.087803,31.192005,40.281284,32.46169,225.52228,70.63495,402.77957,104.10096,54.75769,80.21028,37.599606
1237.5784,33.079746,30.721436,37.285137,29.718622,206.39786,67.512695,370.87466,100.17566,51.01166,76.90584,37.57167
1711.4696,33.07224,30.275402,34.503613,27.197124,188.14268,64.62651,555.21204,96.47906,47.48544,73.82251,37.54489
1622.6448,33.065243,44.783585,31.92134,24.879297,170.71727,61.95854,602.40656,92.99782,44.166126,112.48362,37.519222
2075.4436,33.058727,43.60424,29.524038,22.748692,200.26276,59.4923,558.81683,112.82925,41.041584,107.01949,37.49461
