Cell 9,Cell 21,Cell 61,Cell 63,Cell 76
2.38765,46.79213,-9.811644,71.07354,93.08751
2.38765,42.908684,-9.811644,71.07354,86.955666
2.38765,39.191536,-9.811644,71.07354,81.141754
2.38765,35.63356,-9.811644,71.07354,75.62929
2.38765,32.227943,-9.811644,71.07354,70.40264
2.38765,28.968163,-9.811644,71.07354,65.44699
2.38765,25.847977,-9.811644,71.07354,60.748295
2.38765,22.861404,-9.811644,71.07354,56.293217
2.38765,20.00272,-9.811645,71.07354,189.29509
2.38765,17.266449,-9.811645,71.07354,178.17497
2.38765,14.647354,-9.811645,71.07354,167.6314
2.38765,12.140411,-9.811645,71.07354,157.6345
2.38765,9.740822,-9.811645,71.07354,148.15596
2.38765,7.443989,-9.811645,71.07354,139.16887
2.38765,5.24551,-9.811645,71.07354,189.67827
2.38765,3.1411743,-9.811645,71.07354,178.53825
2.38765,1.1269493,-9.811645,71.07354,230.23595
2.38765,-0.8010216,-9.811645,71.07354,259.9429
2.38765,-2.646431,-9.811645,71.07354,245.15974
2.38765,-4.412819,-9.811645,71.07354,231.14308
2.38765,-6.103565,-9.811645,71.07354,312.03253
2.38765,-7.7219124,-9.811645,71.07354,294.54855
2.38765,-9.270958,-9.811645,71.07354,277.97113
2.38765,-10.75367,-9.811645,71.07354,262.25323
2.38765,-12.172888,-9.811645,71.07354,247.3503
2.38765,-13.531332,-9.811645,71.07354,233.22005
2.38765,-14.831606,-9.811645,71.07354,219.82243
2.38765,-16.076199,-9.811645,71.07354,207.11949
2.38765,-17.267496,-9.811645,71.07354,195.07518
2.38765,-18.40778,-9.811645,71.07354,183.65538
2.38765,-19.499235,-9.811645,71.07354,172.82765
2.38765,-20.543951,-9.811645,71.07354,162.56136
2.38765,-21.54393,-9.811645,71.07354,152.82735
2.38765,-22.50109,-9.811645,71.07354,143.59804
2.38765,-23.41726,-9.811645,71.07354,134.84724
2.38765,-24.294197,-9.811645,71.07354,174.92552
2.38765,-25.133583,-9.811645,71.07354,201.06947
2.38765,-25.937025,-9.811645,71.07354,189.33885
2.38765,-26.706062,-9.811645,71.07354,178.21645
2.38765,-27.442167,-9.811645,71.07354,476.2263
2.38765,-28.146751,-9.811645,71.07354,450.229
2.38765,-28.821163,-9.811645,71.07354,425.57965
2.38765,-29.466696,-9.811645,71.07354,402.20837
2.38765,-30.084585,-9.811645,71.07354,380.04886
2.38765,-30.676016,-9.811645,71.07354,598.3517
2.38765,-31.242119,-9.811645,71.07354,566.0223
2.38765,-31.783981,-9.811645,71.07354,535.36914
2.38765,-32.302643,-9.811645,71.07354,668.5726
2.38765,-32.799088,-9.811645,71.07354,632.6023
2.38765,-33.27428,-9.811645,71.07354,598.4971
2.38765,-33.729122,-9.811645,71.07354,566.16016
2.38765,-34.164486,-9.811645,71.07354,535.4999
2.38765,-34.581207,-9.811645,71.07354,506.42938
2.38765,-34.98008,-9.811645,71.07354,790.9785
2.38765,-35.361877,-9.811645,71.07354,1269.1715
2.38765,-35.72732,-9.811645,71.07354,1202.0607
2.38765,-36.077118,-9.811645,71.07354,1463.5269
